LOC_PID,LOC_NAME
loc0218d151eee9,Alexander Heights
loc6727e188bd75,Alfred Cove
locbafc4ce674ec,Anketell
locc923ebe76962,Applecross
locc54bc63ad3a4,Ardross
loce0d34bcf446f,Armadale
loc4308607738e9,Ascot
loc579a4606b68d,Ashby
loca327cccb8944,Ashfield
loc3aa53f3d6619,Attadale
loc4b5f27d67208,Atwell
locfd2d02ef4126,Aubin Grove
loc515722de7c4d,Aveley
locee3e395f3fff,Balcatta
loc03c58af0540d,Baldivis
loc420671b1da8c,Balga
loc753fc9cf6e17,Ballajura
locb71194fe39bd,Banjup
loccb3c83db7416,Banksia Grove
locbdf5990189b0,Baskerville
locb6db53e30ac2,Bassendean
loc97104f6c3cd7,Bateman
loc2087b070e03d,Bayswater
loce9dd7604daa5,Beaconsfield
loc2f12221cae43,Beckenham
loc2883d517eb49,Bedford
loc95f4d7f0dce1,Bedfordale
loc7e6adb35d998,Beechboro
loc2c3602b54abb,Beeliar
loc505f69ebee39,Beldon
loc2fcd6d4c49ed,Belhus
loceca5cd17e87e,Bellevue
loc1ba6578b605f,Belmont
loc255b3a7eaead,Bennett Springs
locf5d5d3a4a86d,Bentley
loc7d78f1483355,Bertram
locf71ea39386fd,Bibra Lake
loc84a7d2f47d62,Bickley
loc70f697ee3916,Bicton
locf19bd2f61c83,Booragoon
loc97def4d8bd6f,Brabham
loc9de86db7d39f,Brentwood
locee190d5ee7f9,Bull Creek
loc63b294aaf2d1,Bullsbrook
loc640ed3c49867,Burns Beach
loc98b2b327191f,Burswood
locfd34e70cb12a,Butler
loc4e0ec921c389,Byford
loc1cd9be4ffd78,Calista
loc288a8eda0b65,Camillo
loce25368c73871,Canning Vale
loc0cea1c9bcab8,Cannington
locd216dc2d53b1,Cardup
locf2377a2e505f,Carine
loc26a0d1ae8fa5,Carlisle
loc1a2a3e157fb2,Carmel
locd5987ca7eff3,Carramar
loc2838cec84e93,Casuarina
loc584898d59c71,Caversham
locd3505590fc12,Champion Lakes
loc2ea0a75ed665,Churchlands
loc9cafe87a74f8,City Beach
loc3fb2df883def,Claremont
loc0ae9ba8db21e,Clarkson
loce0e284efa0a2,Cloverdale
loc18245fecb8d8,Cockburn Central
loc8f5e0a8165c8,Como
loc8ab2e22d72a7,Connolly
loc665074a99d08,Coogee
loc24e302c5017a,Coolbellup
loc8f67155720a8,Coolbinia
loc03d80f6c5fc3,Cooloongup
loce1cce6fb086b,Cottesloe
loc199116bb4925,Craigie
loce533593c76da,Crawley
loc913b4d0b9c27,Cullacabardee
loc98f8e18dbea2,Currambine
loc51e7b01c4ccf,Daglish
locde44c0e360e1,Darch
loc2fa86f9a4688,Darling Downs
loca601db6b2d84,Darlington
loca4b4f81505fd,Dayton
loc8c50e39b632f,Dianella
locCfwbcbz-kjpb,Doobarda
locb858ee4f7327,Doubleview
loc8ac2a3f79895,Duncraig
locde9a5390ef89,East Cannington
locab9d9e48ae00,East Fremantle
locfdcb3b3ca811,East Perth
locd991feb55151,East Rockingham
loc945bf8eeb7fc,East Victoria Park
loc23c0f08b1016,Eden Hill
loc8d04937378e8,Edgewater
locba97052b8815,Ellenbrook
loca4e760575c03,Embleton
locd905647846da,Ferndale
loc49ebe8e95d7c,Floreat
locb43ddeebaa65,Forrestdale
loc06bf33bbef84,Forrestfield
locfcd9cb616965,Fremantle
loc74f406d3573a,Gidgegannup
loc5d9166d5c05d,Girrawheen
locb28871df36a0,Glen Forrest
loc03c45d4572f3,Glendalough
loc6b8bf5cd512d,Gnangara
locc5cdc4dda530,Gooseberry Hill
loc6febdc101e3d,Gosnells
loceb1e2361b03a,Greenmount
loc70d669187fcc,Greenwood
locd12f94f1db7a,Guildford
loc2b98f74f9365,Gwelup
loc8be091889f04,Hacketts Gully
locd408a308956d,Hamersley
loc42ff1304c440,Hamilton Hill
loc1f210d73e911,Hammond Park
locc5f6d06606ce,Harrisdale
loc5138ff72d50c,Haynes
loc62177d073125,Hazelmere
loc72cc6357df99,Heathridge
loc3c51d081e783,Helena Valley
loc8b163656373b,Henderson
locb04d1d2f4522,Henley Brook
loc6b9593c0d5cd,Herdsman
loc7042bd156ccc,Herne Hill
locdeb57992384d,High Wycombe
locc853f6a5a469,Highgate
loc05266a23421e,Hilbert
loce44da6978274,Hillarys
loc5e3d0247b919,Hillman
locf26800210e60,Hilton
loc5fe93bad3a0a,Hocking
locd1e5f9ff6966,Hope Valley
loc6b745256019b,Hovea
locdabc63154716,Huntingdale
locaeb2f88040c2,Iluka
loc96bd74cc4740,Inglewood
loc65b05fa37e1d,Innaloo
loca6da887377c3,Jandakot
locdce88349d1f0,Jane Brook
loc44eea2df5d30,Jarrahdale
locbb9765c3045b,Jolimont
loce452b8e96f2b,Joondalup
loca7d17e673e5c,Joondanna
locdae34ef78cc8,Kalamunda
loc17611a680004,Kallaroo
locd7e60121aa3d,Karawara
loc4d3fd72f469b,Kardinya
loc04e5c5e0afde,Karnup
loc94c343242624,Karragullen
loc7c9075b37510,Karrakatta
locf36bc1f05f34,Karrinyup
loc80fd3d5a1b09,Kelmscott
loc4f2373b92604,Kensington
loc2be1fab44220,Kenwick
locc6d35f3a7b7f,Keralup
loc3fdff929da4d,Kewdale
locdaa6e95b963b,Kiara
loc4bb450047e3a,Kingsley
loc9caf0df83579,Kinross
loc23ad76fcbb85,Koondoola
loc09999b56901b,Kwinana Beach
loc225333ed1299,Kwinana Town Centre
loc03b75171ffb2,Lake Coogee
loc6a84bd2b0ee3,Landsdale
locebe6773482e2,Langford
locf812fc810475,Lathlain
locc47cb63bb1d5,Leda
locaf7c634663a7,Leederville
loc64a63c8eb3da,Leeming
locb4e3af541c63,Lesmurdie
locd75d76a01a20,Lexia
locb7e45399c783,Lockridge
loc92075a951cd2,Lynwood
loc88fc5f397e8f,Maddington
loc8e9ec66bf195,Madeley
loc568a2603b032,Maida Vale
loc0ea95cb3b9ff,Malaga
locf14df7786a72,Mandogalup
locd82c5a97a99f,Manning
loc403c75a9da8a,Marangaroo
loc1b80dfeba4ef,Mardella
loc8ac9f2cd274f,Mariginiup
loc4b2f92f57692,Marmion
locb6887d438b67,Martin
locb60e6ead290b,Maylands
loc542659907d09,Medina
loc7a568925aaaf,Melaleuca
locc6c4fb615545,Melville
locad8901f33e35,Menora
loc6e6e885ee994,Merriwa
loc5d8c5a1b5fd5,Middle Swan
loc879ddb751d57,Midland
loca0b420e4555c,Midvale
locdc8fb1c6371e,Millendon
loc221091e88282,Mindarie
loc8e1c2d5358b5,Mirrabooka
loc0b3ced35be0c,Morley
loc5f78f8a969fd,Mosman Park
loc6469b6119a94,Mount Claremont
locb92c27d896ae,Mount Hawthorn
loca9e4457529e6,Mount Lawley
locc13bb4601f6c,Mount Nasura
loc2a9b0c6f7448,Mount Pleasant
loce16bba5a0c20,Mount Richon
loc0c4d08b4ff7a,Mullaloo
loce062e668f5e9,Mundijong
locae99628d2de2,Munster
loc8e324219c90d,Murdoch
loc78a86575f164,Myaree
locb3a7d927e6c3,Naval Base
locc2ece961e7d5,Nedlands
loc0553897469f0,Neerabup
loc2b1fddeadf7c,Nollamara
loc9d9f63fe2f00,Noranda
loc4799eefe414b,North Beach
loc6e582cee1e35,North Coogee
loc7ccd7111ad7e,North Fremantle
loc8e69d9ac96ee,North Lake
loc5b295666a3e5,North Perth
locf8a007439f96,Northbridge
loccc7fd2b9974d,Nowergup
loc7b2207ede24e,O'Connor
loc546b66c85736,Oakford
loca2267168e5bc,Ocean Reef
loc6e5b507f7251,Oldbury
loc95c5a2d55bd1,Orange Grove
locf96de170c997,Orelia
loc01ee6d4bc0ce,Osborne Park
locec4b406579e0,Padbury
locb9620a3970fd,Palmyra
locddd1a96643e0,Parkwood
loc97d55700ca9a,Parmelia
loc1c804574ccb4,Paulls Valley
loc39582ebee8ed,Pearsall
locfe4b363e5ebf,Peppermint Grove
loc29712fdda8c8,Peron
locc358bce007c6,Perth
locfa597639ca5c,Perth Airport
locc6de13f6bb80,Piara Waters
locec59acee6c18,Piesse Brook
loc17271c036141,Port Kennedy
loce5d01de7e364,Postans
locd2dbd6765fc2,Queens Park
locfd20f8b9041c,Quinns Rocks
locf062c992d986,Red Hill
loc35fa4cdb2ebe,Redcliffe
locc9c562880aeb,Ridgewood
loc3ea589b974cc,Riverton
loc587dd674d539,Rivervale
loc1fcb32a6febd,Rockingham
locd03489445917,Roleystone
locad1a9198fcd2,Rossmoyne
loc7ea69a824cd2,Safety Bay
loc7de89bd2bd85,Salter Point
loc0b0d8772b8d0,Samson
loc6b6eb6ca5db9,Scarborough
loc2ea8c8e90968,Secret Harbour
loc105c8b1e4dc7,Serpentine
loc5ab9248f1b3f,Seville Grove
loc47c79b8ae7c5,Shelley
locc5d95da665cd,Shenton Park
locd7e86d7d412c,Shoalwater
loc605c6593483e,Sinagra
loc4bd600b091d4,Sorrento
loc5f75efa239e0,South Fremantle
loccdb7ce567886,South Guildford
loc31e05b2ad348,South Lake
loc1369e385f366,South Perth
locdba02931ec7c,Southern River
locd03ff8e7fcf5,Spearwood
loc8ab0658bef34,St James
loc5104776758bf,Stirling
locf361ac68fadf,Stratton
locb661a02fdc41,Subiaco
loc381a5f964ea0,Success
loce6a257f42cda,Swan View
loc0130f7b73580,Swanbourne
loc58d0efabfcf6,Tamala Park
locc3389fc3db27,Tapping
loc255b28d9d515,The Spectacles
loc4fe698f3cd1c,Thornlie
loc5b2c656576b7,Treeby
locf6d92f3f7469,Trigg
locac4d54e333f5,Tuart Hill
locf56ba39df293,Upper Swan
locd697a396d492,Victoria Park
loc0777c3bad463,Waikiki
loca65eea2c4229,Walliston
loc11195c1949cb,Wandi
locff363206ea3b,Wangara
locd6b6cfa90539,Wanneroo
loc9d38a437f008,Warnbro
locd0d5042f34aa,Warwick
locdfe52c4a70d9,Waterford
loc2bd079116583,Watermans Bay
loc1d0ffd56333a,Wattle Grove
loc3c5bae3c98fb,Wattleup
loca21acae910e5,Wellard
loc2b6f54e3f4c6,Welshpool
loc16e7fd8d9aee,Wembley
loc3ca51b57975b,Wembley Downs
loc41388a916ec5,West Leederville
loca353b41bb855,West Perth
loca353b41bb855,West Perth
loc11ff97e4e1e5,West Swan
loc001ecf69cf9a,Westminster
loc8fcb2a0f7968,Whitby
loc8e5ab0464f9a,White Gum Valley
loc39e6f4f8afa3,Whiteman
loc921f3745b403,Willagee
loc102d950a2298,Willetton
locc5604e40bd72,Wilson
locf3b9fd0be3e6,Winthrop
locf36f60d30ebd,Woodbridge
loc83ec604ce819,Woodlands
loc981685f50f9f,Woodvale
locffe260530738,Wungong
loc6c46e512bdb3,Yangebup
loc1584e466fe11,Yokine