ID	HINT	ANSWER	TYPEIN
SVG Path	Route	Road Name	Alternate
mounts-bay-road	State Route 5	Mounts Bay Road	
barrack-street	State Route 5 / State Route 53	Barrack Street	
adelaide-terrace		Adelaide Terrace	
mitchell-freeway	State Route 2	Mitchell Freeway	
kwinana-freeway	National Route 1 / State Route 2	Kwinana Freeway	
william-street	State Route 53	William Street	
alexander-drive	State Route 56	Alexander Drive	
stirling-highway	State Route 5	Stirling Highway	
winthrop-avenue	State Route 61	Winthrop Avenue	
erindale-road		Erindale Road	
hepburn-avenue	State Route 82	Hepburn Avenue	
marmion-avenue	State Route 71	Marmion Avenue	
reid-highway	State Route 3	Reid Highway	
beach-road		Beach Road	
vincent-street	State Route 72	Vincent Street	
loftus-street	State Route 61	Loftus Street	
fitzgerald-street	State Route 56	Fitzgerald Street	
thomas-street	State Route 61	Thomas Street	
ocean-reef-road	State Route 84	Ocean Reef Road	
warwick-road	State Route 81	Warwick Road	
lake-monger-drive	State Route 72	Lake Monger Drive	
southport-street		Southport Street	
charles-street	State Route 60	Charles Street	
london-street	State Route 61	London Street	
malaga-drive		Malaga Drive	
karrinyup-road	State Route 76	Karrinyup Road	
oxford-street		Oxford Street	
west-coast-highway	State Route 71	West Coast Highway	
joondalup-drive	State Route 85	Joondalup Drive	
curtin-avenue	State Route 71	Curtin Avenue	
eric-street	State Route 71	Eric Street	
cedric-street		Cedric Street	
hutton-street		Hutton Street	
whitfords-avenue	State Route 83	Whitfords Avenue	
nollamara-avenue		Nollamara Avenue	
main-street		Main Street	
wanneroo-road	State Route 60	Wanneroo Road	
burns-beach-road	State Route 87	Burns Beach Road	
graham-farmer-freeway	State Route 8	Graham Farmer Freeway	
roe-highway	National Highway 94 / State Route 3	Roe Highway	
great-eastern-highway-bypass	National Highway 94	Great Eastern Highway Bypass	
canning-highway	National Route 1 / State Route 6	Canning Highway	
south-street	State Route 13	South Street	
mirrabooka-avenue		Mirrabooka Avenue	
marangaroo-drive	State Route 81	Marangaroo Drive	
great-eastern-highway	National Highway 94 / State Route 51	Great Eastern Highway	
causeway	State Route 5	Causeway	
west-swan-road	State Route 52	West Swan Road	
gnangara-road	State Route 83	Gnangara Road	
walcott-street	State Route 75	Walcott Street	
green-street	State Route 75	Green Street	
crimea-street		Crimea Street	
alfred-road		Alfred Road	
wellington-street	State Route 65	Wellington Street	
railway-road		Railway Road	
gugeri-street		Gugeri Street	
plain-street	State Route 65	Plain Street	
kings-park-road		Kings Park Road	
stock-road	National Route 1	Stock Road	
phoenix-road		Phoenix Road	
high-street	State Route 7	High Street	
cambridge-street		Cambridge Street	
the-boulevard	State Route 72	The Boulevard	
orrong-road	State Route 8	Orrong Road	
james-street	State Route 1 / State Route 51	James Street	
guildford-road	State Route 51	Guildford Road	
east-parade	State Route 66	East Parade	
canning-road	State Route 41	Canning Road	
east-street	State Route 1 / State Route 51	East Street	
kalamunda-road	State Route 41	Kalamunda Road	
morrison-road	National Route 1	Morrison Road	
hay-street		Hay Street	
st-georges-terrace		St Georges Terrace	
oceanic-drive		Oceanic Drive	
underwood-avenue	State Route 65	Underwood Avenue	
burslem-drive		Burslem Drive	
fremantle-road	State Route 36	Fremantle Road	
spencer-road	State Route 36	Spencer Road	
nicholson-road	State Route 31	Nicholson Road	
warton-road		Warton Road	
grantham-street	State Route 72	Grantham Street	
hale-road		Hale Road	
huntriss-road		Huntriss Road	
beechboro-road-north	State Route 53	Beechboro Road North	
welshpool-road-east	State Route 8	Welshpool Road East	
safety-bay-road	State Route 18	Safety Bay Road	
shepperton-road	State Route 30	Shepperton Road	
albany-highway	State Route 30	Albany Highway	
welshpool-road		Welshpool Road	
leach-highway	National Route 1 / State Route 7	Leach Highway	
tonkin-highway	State Route 4	Tonkin Highway	
brookton-highway	State Route 40	Brookton Highway	
armadale-road	State Route 14	Armadale Road	
ranford-road	State Route 13	Ranford Road	
kewdale-road		Kewdale Road	
horrie-miller-drive		Horrie Miller Drive	
newcastle-street		Newcastle Street	
bulwer-street	State Route 72	Bulwer Street	
hill-street	State Route 51	Hill Street	
lord-street	State Route 51	Lord Street	
beaufort-street	State Route 53	Beaufort Street	
railway-parade		Railway Parade	
neaves-road	State Route 85	Neaves Road	
brockway-road		Brockway Road	
brookdale-street		Brookdale Street	
hampton-road	State Route 12	Hampton Road	
walter-road-east		Walter Road East	
balcatta-road	State Route 78	Balcatta Road	
morley-drive-east	State Route 76	Morley Drive East	
altone-road		Altone Road	
selby-street	State Route 64	Selby Street	
pearson-street	State Route 64	Pearson Street	
brisbane-street	State Route 53	Brisbane Street	
kenwick-link	State Route 30	Kenwick Link	
hayman-road		Hayman Road	
high-road	State Route 27	High Road	
queen-victoria-street	State Route 12	Queen Victoria Street	
camboon-road		Camboon Road	
wellington-road		Wellington Road	
broun-avenue	State Route 53	Broun Avenue	
kent-street		Kent Street	
mandurah-road	National Route 1 / State Route 22	Mandurah Road	
rockingham-road	National Route 1 / State Route 14	Rockingham Road	
patterson-road	National Route 1 / State Route 18	Patterson Road	
riverside-drive	State Route 5	Riverside Drive	
beechboro-road-south		Beechboro Road South	
ellen-stirling-boulevard		Ellen Stirling Boulevard	
jon-sanders-drive		Jon Sanders Drive	
south-western-highway	State Route 20	South Western Highway	
benara-road	State Route 76	Benara Road	
beeliar-drive	State Route 14	Beeliar Drive	
ennis-avenue	National Route 1	Ennis Avenue	
olga-road		Olga Road	
kelvin-road		Kelvin Road	
thomas-road	State Route 21	Thomas Road	
read-street		Read Street	
warnbro-sound-avenue		Warnbro Sound Avenue	
lake-road		Lake Road	
champion-drive		Champion Drive	
corfield-street	State Route 36	Corfield Street	
lawson-street		Lawson Street	
douglas-avenue		Douglas Avenue	
karel-avenue		Karel Avenue	
belgravia-street	State Route 55	Belgravia Street	
grandstand-road	State Route 55	Grandstand Road	
garratt-road	State Route 55	Garratt Road	
rae-road		Rae Road	
harborne-street		Harborne Street	
powis-street		Powis Street	
yirrigan-drive		Yirrigan Drive	
ravenswood-drive		Ravenswood Drive	
morley-drive	State Route 76	Morley Drive	
kulija-road	State Route 22	Kulija Road	
mundijong-road	State Route 22	Mundijong Road	
gilmore-avenue		Gilmore Avenue	
wellard-road		Wellard Road	
grand-promenade	State Route 55	Grand Promenade	
dianella-drive		Dianella Drive	
russell-road		Russell Road	
midgegooroo-avenue		Midgegooroo Avenue	
north-lake-road		North Lake Road	
berrigan-drive		Berrigan Drive	
frobisher-street		Frobisher Street	
scarborough-beach-road	State Route 75	Scarborough Beach Road	
flynn-street	State Route 64	Flynn Street	
howtree-place		Howtree Place	
hill-view-terrace		Hill View Terrace	
berwick-street		Berwick Street	
riseley-street		Riseley Street	
marmion-street		Marmion Street	
central-avenue		Central Avenue	
walter-road-west		Walter Road West	
king-william-street		King William Street	
shenton-avenue		Shenton Avenue	
collier-road		Collier Road	
port-beach-road		Port Beach Road	
victoria-street		Victoria Street	
swan-view-road		Swan View Road	
old-york-road		Old York Road	
manning-road	State Route 26	Manning Road	
oats-street		Oats Street	
amelia-street		Amelia Street	
widgee-road		Widgee Road	
coode-street		Coode Street	
fairbrother-street	State Route 55	Fairbrother Street	
royal-street		Royal Street	
cockburn-road	State Route 12	Cockburn Road	
hodges-drive		Hodges Drive	
stubbs-terrace		Stubbs Terrace	
roberts-road		Roberts Road	
johnson-street	State Route 1	Johnson Street	
murdoch-drive		Murdoch Drive	
odin-road		Odin Road	
lloyd-street		Lloyd Street	
great-northern-highway	National Highway 95	Great Northern Highway	
southern-river-road		Southern River Road	
spring-road		Spring Road	
abernethy-road	State Route 55	Abernethy Road	
russell-street		Russell Street	
toodyay-road	State Route 50	Toodyay Road	
garden-street		Garden Street	
stoneham-street	State Route 55	Stoneham Street	
dixon-road	State Route 22	Dixon Road	
bannister-road		Bannister Road	
ord-street	State Route 12	Ord Street	
collier-link		Collier Link	
embleton-avenue		Embleton Avenue	
jandakot-road		Jandakot Road	
yale-road		Yale Road	
woodrow-avenue		Woodrow Avenue	
council-avenue		Council Avenue	
whatley-crescent		Whatley Crescent	
watkins-road	State Route 22	Watkins Road	
stephenson-avenue	State Route 64	Stephenson Avenue	
mundaring-weir-road	State Route 207	Mundaring Weir Road	
meadow-street	State Route 52 / State Route 203	Meadow Street	
centenary-avenue		Centenary Avenue	
birdiya-drive	State Route 5	Birdiya Drive	
tydeman-road	State Route 204	Tydeman Road	
drumpellier-drive		Drumpellier Drive	
airport-drive		Airport Drive	
the-promenade		The Promenade	
brady-street		Brady Street	
walter-place	State Route 204	Walter Place	
muchea-south-road	State Route 85 / State Route 359	Muchea South Road	
